Model,Sampling,Accuracy
LogisticRegression,RandomOverSampler,0.9163373862691536
LogisticRegression,RandomUnderSampler,0.8964746959894375
LogisticRegression,SMOTE,0.9244800372689476
LogisticRegression,SMOTETomek,0.9244800372689476
LogisticRegression,NoSampling,0.917391304347826
DecisionTree,RandomOverSampler,0.9729022133044445
DecisionTree,RandomUnderSampler,0.9636106253016121
DecisionTree,SMOTE,0.9833014175414349
DecisionTree,SMOTETomek,0.9770963283681248
DecisionTree,NoSampling,0.9739130434782608
RandomForest,RandomOverSampler,0.997872340425532
RandomForest,RandomUnderSampler,0.9909578143599571
RandomForest,SMOTE,0.997872340425532
RandomForest,SMOTETomek,0.997872340425532
RandomForest,NoSampling,1.0
NaiveBayes,RandomOverSampler,0.7466282964962132
NaiveBayes,RandomUnderSampler,0.7679374158558271
NaiveBayes,SMOTE,0.7323660774411611
NaiveBayes,SMOTETomek,0.7323660774411611
NaiveBayes,NoSampling,0.7869565217391304
SVM,RandomOverSampler,0.6634063750628056
SVM,RandomUnderSampler,0.6701941693504068
SVM,SMOTE,0.6654247949727629
SVM,SMOTETomek,0.6654247949727629
SVM,NoSampling,0.6804347826086957
